index,original_title,artist,startYear,endYear,image,url,museum,title,place,material,description,art_id_1,art_id_2,art_id_3,art_id_4,art_id_5,art_id_6,art_id_7,art_id_8,art_id_9,art_id_10
23,Portrait d'homme,"Italie ; Tintoret (Robusti, Jacopo, dit Tintoretto)",1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053876/0001086954_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053876,louvre museum,portrait of a man,Italy,cloth,registration to middle annor aetatis sweat xxii to setback on the frame a label collection louis the case manuscript and in red,75,60,9,3837,3840,10,2267,5003,5464,5288
24,Polyptyque: Calvaire et saints,Italie ; Zanino di Pietro,1389.0,1410.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053911/0000731750_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053911,louvre museum,Polyptych: Calvary and Saints,Italy,bottom  gold on drink  poplar ,sign central the calvary to underneath of them evangelists sign of right holy jerome to underneath holy anthony holy james to underneath holy once transformed in holy claire panels of left holy jeans baptist to underneath holy francis holy pierre to underneath holy elizabeth registration to setback on the sign to stencil white mid to setback on the sign central a label handwritten campana mid zanino said pietro polyptych to setback on the sign a registration handwritten in white almost erased on the book to sinister creed ul god panem omni potential on the book of holy jerome in vastata loneliness sedebam solutions who has amaritudine plenus era holy jerome regulated monastery on the phylactery ecce agnus dei,3826,2620,7,3825,3827,12,2333,3828,1362,1361
25,Deux moines se flagellant,"Italie ; Magnasco, Alessandro",1700.0,1800.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053656/0000042670_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053656,louvre museum,Two monks scourging each other,Italy,cloth,registration to setback to stencil in black on the cloth and i setback a label collection louis the case label torn and red manuscript faded away setback a label salvator rose hermits of them pendants,32,2947,970,61,5205,5097,2568,5653,1241,38
26,Vierge à l'Enfant avec un ange,"Italie ; Botticelli, Sandro (Alessandro di Mariano di Sandro Filipepi, dit)",1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053450/0000751116_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053450,louvre museum,Virgin and Child with an Angel,Italy,drink  poplar ,registration to setback on the support  hanging metallic of sign to i ink red,5112,5113,5111,5108,5110,3850,5114,104,80,1125
27,Scènes de l'histoire de Suzanne : Le Jugement de Suzanne,"Italie ; Pesellino (Francesco di Stefano, dit)",1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053542/0000751278_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053542,louvre museum,Scenes from the Story of Susanna: The Judgment of Susanna,Italy,drink  poplar ,conviction of susanna by the of them old men judgement from old men by daniel child torture from old men,105,4572,4593,1597,4582,3199,6330,1400,3198,1399
28,Vue d'un port italien,"Italie ; Ricci, Marco",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000054083/0000919146_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054083,louvre museum,View of an Italian port,Italy,cloth,registration to setback to pencil salvator for my board label printed setback frame collection louis the case in red label setback frame transcription partial street of dragon toussaint setback frame extract of catalog ricci seen  a bridge on the ribs  italy enriched of columns of factories and animated by a big number of characters on label to edging blue on the slice of frame,5343,2568,3141,2986,5493,5002,91,61,32,2684
29,Paysage avec figures,"Italie ; Zuccarelli, Francesco",1700.0,1800.0,https://collections.louvre.fr/media/cache/original/0000000021/0000054663/0000999156_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054663,louvre museum,Landscape with figures,Italy,cloth,registration labels erased,906,44,4270,3196,43,49,3199,3198,1820,4597
30,La Vierge et L'Enfant,"Italie ; Ser Giovanni, Giovanni di (Guidi)",1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053604/0000731646_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053604,louvre museum,The Virgin and Child,Italy,bottom  gold on drink,registration ministry of the home of i emperor museums imperial to setback on label,3363,1398,37,3366,80,3821,3364,109,103,1214
31,Le Couronnement de la Vierge avec six anges et deux franciscains donateurs (?).,Italie ; Jacopo di Paolo,1400.0,1415.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053632/0000751178_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053632,louvre museum,The Coronation of the Virgin with six angels and two Franciscan donors (?).,Italy,bottom  gold on drink  poplar ,signature sign in low to center jacobus pauli pinsit,71,3924,37,3366,3361,3359,4773,82,5340,3363
32,Le Moine,"Italie ; Magnasco, Alessandro ; Magnasco, Alessandro",1725.0,1728.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053657/0000042433_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053657,louvre museum,The monk,Italy,cloth,registration glued on label rectangular ancient collection the case partially preserved label handwritten to setback on the frame evreux in blue on frame registration handwritten in white to setback on the cloth in blue to setback on the frame man evreux same paper green that on the nr rest  a paper registered glue on i obverse illegible tracks  label to setback on the frame collect ion louis the case a registration black on frame in white on the cloth evreux,5205,1241,5091,5097,2436,5053,61,5778,2684,4521
33,Saint Sébastien,Italie ; Maître du Jugement de Paris du Bargello,1415.0,1425.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053669/0000750879_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053669,louvre museum,San Sebastian,Italy,bottom  gold on drink  poplar ,nature of brand stamp of wax,623,3337,3336,2570,2066,3258,5000,2,526,100
34,"Saint Jean Évangéliste, saint Louis de Toulouse et la donatrice, Catarina dei Franzesi",Italie ; Tommaso del Mazza,1300.0,1400.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053691/0000751250_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053691,louvre museum,"Saint John the Evangelist, Saint Louis of Toulouse and the donor, Catarina dei Franzesi",Italy,bottom  gold on drink  poplar ,sign lateral straight  a triptych see m i m i registration to setback a stamp vs i to setback a stamp of camping of pisa to setback a label taddeo gadi staves nel convent said s croce said firenze vs lasino,3824,484,3193,8,82,3832,490,5926,2260,5986
35,Le Christ adoré par huit saints,Italie ; Neri di Bicci,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053743/0000750866_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053743,louvre museum,Christ Adored by Eight Saints,Italy,drink  poplar ,francis madeleine paul bernard jeans catherine jerome and anthony,110,3394,108,3809,3194,2627,55,1215,79,3325
36,La Vierge et l'Enfant,Italie ; Paolo da Visso,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053775/0000751021_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053775,louvre museum,The Virgin and Child,Italy,drink  poplar ,registration ego sum lux truth and viva in the phylactery of jesus signature paulus  and visso sign in low to center,3927,1131,2033,3359,3339,1088,3220,3924,3364,64
37,La Vierge de Miséricorde,Italie ; Pietro di Domenico da Montepulciano,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053777/0000751302_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053777,louvre museum,The Virgin of Mercy,Italy,bottom  gold on drink  poplar ,registration mid to setback on the sign to felt black,1214,109,3806,1398,80,3808,54,71,103,5340
38,Mariage mystique de sainte Catherine,"Italie ; Parmesan (Francesco Mazzola, dit Il Parmigianino, ou Le)",1600.0,1640.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053782/0001103967_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053782,louvre museum,Mystical Marriage of Saint Catherine,Italy,cloth,registration to setback rod reindeer to setback in red mr to setback on the frame stamp oval museum of reindeer to setback a label from museums imperial to setback a label handwritten to setback a label srmf,50,3803,5280,2436,2568,5205,4520,3852,5090,81
39,"La Vierge, l'Enfant, sainte Agnès et saint Jean Baptiste","Italie ; Titien (Tiziano Vecellio, dit Tiziano ou)",1535.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053880/0000747316_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053880,louvre museum,"The Virgin, the Child, Saint Agnes and Saint John the Baptist",Italy,cloth,registration stencil setback red mr,1813,89,3802,1815,3189,1811,4270,5331,4272,5926
40,Abraham servant les anges,"Italie ; Vignali, Jacopo",1624.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053903/0001004223_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053903,louvre museum,Abraham serving the angels,Italy,cloth,signature sign date in low iac vigniali f mdcxxiii,5323,41,3177,4516,5301,4602,2260,31,3879,3193
41,L'adoration des bergers,"Italie ; Bassano, Jacopo (Jacopo dal Ponte, dit)",1575.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000057385/0000328670_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010057385,louvre museum,The worship of the shepherds,Italy,cloth,in this painting nocturnal the light celestial broadcast by the cherubs to mixes to the glow of the candle advanced by the shepherd for illuminate the face central of i child jesus his radiation springs up to his round on the face of the virgin who raised to of them hands the veil of cradle for to show i child to the shepherd attentive thus that to the animals the light diffuse of the stage exalted from colors intense and rare pink garnet green acid white milky on the bottom dark and brown of this chief  work from latest years of jacopo bassano,6004,6001,3328,40,6005,2142,1099,6003,3332,6000
42,Ruines d'architecture antique avec la pyramide de Cestius et la statue de Flore,"Italie ; Panini, Giovanni Paolo",1720.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000057395/0000331060_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010057395,louvre museum,Ruins of ancient architecture with the pyramid of Cestius and the statue of Flora,Italy,cloth,registration label in character  printing on the frame,925,926,3334,924,928,923,2792,5494,3335,5741
43,L'Institution du Rosaire,"Italie ; Morandi, Giovanni Maria",1600.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000052628/0000938367_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010052628,louvre museum,The Institution of the Rosary,Italy,cloth,registration to setback on the cloth brand to stencil in red r f very erased to setback on the frame label louvre very erased murillo r f cat,44,3843,971,5081,2827,2533,4703,4667,3333,3818
44,Personnages dans un paysage,"Italie ; Crespi, Giuseppe Maria",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053188/0000343258_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053188,louvre museum,Figures in a landscape,Italy,cloth,registration to setback on the cloth to stencil black rf to setback on the frame mf has ,5291,4595,309,3838,81,971,50,3609,3852,5492
45,Sérénade grotesque,"Italie ; Bocchi, Faustino",1660.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053440/0000750314_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053440,louvre museum,Grotesque Serenade,Italy,cloth,registration to setback on the cloth to stencil black rf to setback on the frame mf has  to setback on the frame a label rf school of genoa seventeenth serenade to setback a label ajaccio stage of grotesque,3852,6305,6228,5491,46,5090,5493,5343,4888,421
46,Sainte Cécile chantant,"Italie ; Pasinelli, Lorenzo",1600.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053784/0000929201_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053784,louvre museum,Saint Cecilia singing,Italy,cloth,registration assigned to preti saint cecile to setback on frame on label to setback on the cloth to stencil black rf frame to setback on frame on label hidden in part  to setback on the frame to felt to setback on the frame to pencil blue,419,4888,2598,6145,3852,5491,6305,4889,1843,111
47,Nature morte aux carpes,"Italie ; Recco, Nicola Maria",1600.0,1700.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053801/0000042341_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053801,louvre museum,Still life with carp,Italy,cloth,registration to setback on the frame to pencil reindeer to setback on the frame a label collection louis the case in red,5097,32,2947,5288,81,2608,3840,5016,5205,2267
48,La Madeleine,"Italie ; Reni, Guido",1600.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053821/0000963036_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053821,louvre museum,Madeleine,Italy,cloth,registration to setback in low to left to stencil red mr a room affixed to setback of the cloth occult a part of i registration in low to right in red m r,5505,4,783,3004,17,5155,4312,2374,6060,5775
49,Une Arcade. Paysage vénitien,"Italie ; Guardi, Francesco",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000054627/0000767132_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054627,louvre museum,An Arcade. Venetian landscape,Italy,cloth,registration on the frame a menu francesco kept venice venice ruins museums national recovery deposit of i state inv ,3490,3198,59,29,926,820,2672,4270,923,6050
50,Saint François-Xavier assistant les pestiférés,"Italie ; Lombardi, Giovanni Domenico",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000054629/0000998988_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054629,louvre museum,Saint Francis Xavier assisting the plague victims,Italy,cloth,registration to setback to pencil black to setback on the cloth to the chalk white to setback on the frame france to setback on the frame g to setback on the frame vs to setback on the frame a label nr old gazparo crossed holy illegible plagued,3852,2436,46,5969,5280,2893,5090,38,3803,6305
51,Religieuses tressant des paniers,"Italie ; Magnasco, Alessandro",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000054631/0000833650_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054631,louvre museum,Nuns weaving baskets,Italy,cloth,registration to the chalk on the crosses left s on label frame in high it fake on labels crosses central sully i vest  case magnasco nuns nevers label setback frame in low to left wallraf richartz museum gemälde inventory g m z f oh center of gathering artistic control collecting point of baden baden illegible dr beautiful arts on label of the crosses central in high nr magnasco nuns braiding from baskets stencil black setback on the frame and on the cloth nevers museum on frame and on the cloth on label frame in high to left on label of the crosses central in high nr magnasco nuns braiding from baskets on the crosses central has day to the chalk red in h,4523,4994,4963,2925,2789,57,5088,5887,1603,2723
52,La Vierge et l'Enfant dans une gloire de chérubins entre saint Jérôme et saint François,Italie ; Luca di Paolo,1488.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053957/0000731764_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053957,louvre museum,The Virgin and Child in a Glory of Cherubim between Saint Jerome and Saint Francis,Italy,drink  poplar ,registration monogram and date in low to right i h s symmetrically to left a shield wearing from coat of arms nope identified,4602,6307,3355,3941,1135,6295,3399,5458,1131,472
53,La Sainte Famille avec des bergers,Italie ; Maître de Memphis,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053640/0000751128_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053640,louvre museum,The Holy Family with shepherds,Italy,drink  poplar ,format tondo,56,4818,606,3806,3392,112,3326,1282,3339,5095
54,La Vierge adorant l'Enfant,"Italie ; Lorenzo di Credi (Lorenzo d'Andrea d'Uderigo di Credi, dit)",1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053649/0000939226_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053649,louvre museum,The Virgin Adoring the Child,Italy,drink  poplar ,format circular registration to setback on the sign to stencil gray inv to setback on the sign a label handwritten inv,3808,13,3854,37,80,1125,103,486,109,1398
55,La Vierge et l'Enfant entre sainte Marguerite et sainte Catherine,Italie ; Maître de San Jacopo a Mucciana,1300.0,1400.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053686/0000731655_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053686,louvre museum,The Virgin and Child between Saint Margaret and Saint Catherine,Italy,bottom  gold on drink  poplar ,registration to setback on the sign in white mid,3394,70,3806,3325,110,109,107,6295,88,35
56,La Sainte Famille adorant l'Enfant,Italie ; Maître du Tondo Campana,1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053707/0000750995_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053707,louvre museum,The Holy Family adoring the Child,Italy,drink  poplar ,format tondo registration to setback on the sign to stencil black inv,3806,53,606,13,3326,112,1214,3808,4818,37
57,Le Christ portant sa croix,"Italie ; Marchesi, Girolamo",1512.0,1526.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053728/0000751056_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053728,louvre museum,Christ carrying his cross,Italy,drink  poplar ,registration to setback on the frame a label printed to setback on the frame a label handwritten steps the christ wearing the cross to setback on the frame a label handwritten to setback on the sign to the chalk white to setback on the sign to stencil white mid signature sign in low to left hieronimus marchesius facebat mdxx where xxv illegible,3803,4931,50,3852,5090,1603,5969,5280,2436,1043
58,Vierge à l'Enfant entre deux saints,Italie ; Neroccio de Landi,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053750/0000731044_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053750,louvre museum,Madonna and Child between two saints,Italy,drink,registration to setback on the sign to stencil black rf,5076,5803,6124,3811,5077,3800,5767,5083,3821,5991
