index,title,startYear,endYear,material,url,image,artist,description,museum,art_id_1,art_id_2,art_id_3,art_id_4,art_id_5,art_id_6,art_id_7,art_id_8,art_id_9,art_id_10
31,Summer and Winter Landscapes (one of a pair),1607.0,1650.0,,https://clevelandart.org/art/2015.481.2,https://openaccess-cdn.clevelandart.org/2015.481.2/2015.481.2_web.jpg,Kano Naonobu,,cleveland museum of art,31,13,2616,2615,2333,25,28,2617,2525,3109
32,Moonlit Landscape (one of a pair),1575.0,1599.0,,https://clevelandart.org/art/2015.482.1,https://openaccess-cdn.clevelandart.org/2015.482.1/2015.482.1_web.jpg,,,cleveland museum of art,33,3204,1551,267,79,80,81,82,83,4
33,Moonlit Landscape (one of a pair),1575.0,1599.0,,https://clevelandart.org/art/2015.482.2,https://openaccess-cdn.clevelandart.org/2015.482.2/2015.482.2_web.jpg,,,cleveland museum of art,33,3204,1551,267,79,80,81,82,83,4
34,Landscape,1550.0,1599.0,,https://openaccess-cdn.clevelandart.org/2015.484.1/2015.484.1_web.jpg,https://openaccess-cdn.clevelandart.org/2015.484.1/2015.484.1_print.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
35,Landscape,1550.0,1599.0,,https://openaccess-cdn.clevelandart.org/2015.484.2/2015.484.2_web.jpg,https://openaccess-cdn.clevelandart.org/2015.484.2/2015.484.2_print.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
36,Hanshan and Shide (Kanzan and Jittoku),1525.0,1575.0,,https://clevelandart.org/art/2015.592,https://openaccess-cdn.clevelandart.org/2015.592/2015.592_web.jpg,Shikibu Terutada,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
37,Pan Lang (Han Rō),1525.0,1575.0,,https://clevelandart.org/art/2015.591,https://openaccess-cdn.clevelandart.org/2015.591/2015.591_web.jpg,Shikibu Terutada,,cleveland museum of art,3107,3105,57,1805,58,233,2711,215,1674,2745
38,Orchids and Rocks,1897.0,1898.0,,https://clevelandart.org/art/2015.138,https://openaccess-cdn.clevelandart.org/2015.138/2015.138_web.jpg,Yi Ha-eung,yi ha eung  1820−1898   the artist of this eight panel folding screen  was one of the most influential men in late 19th century korea  acting as the regent for his son  king gojong  1852−1919   who ascended the throne at the age of thirteen  yi ruled korea from 1866 to 1873  in addition to his illustrious political career  yi was also recognized as one of the most celebrated artists who led the revival of literati art in late 19th century korean art  in particular  he was recognized as the master of orchids  one of the “four gentlemen”  plum  orchid  chrysanthemum  and bamboo  themes   br  br solely relying on monochrome ink  yi depicted the curvilinear silhouettes of cymbidium orchid leaves dramatically hanging down from cliffs  growing in wilderness and redolent with fragrance  orchids were often associated with the perseverance of principled gentlemen  and thus became one of the most popular subjects of scholar artists  paintings on the upper right corner of the far left panel  yi wrote a short inscription stating that he painted the work at the age of 80 ,cleveland museum of art,23,2898,2703,1553,1554,1555,2439,2063,199,3523
39,Kasuga Shrine Mandala,1300.0,1333.0,,https://clevelandart.org/art/2015.137,https://openaccess-cdn.clevelandart.org/2015.137/2015.137_web.jpg,,,cleveland museum of art,640,62,804,2683,2022,2023,2024,2388,2389,2390
40,Figure Mooring a Boat,1525.0,1573.0,,https://clevelandart.org/art/2015.474,https://openaccess-cdn.clevelandart.org/2015.474/2015.474_web.jpg,Kannan,,cleveland museum of art,55,2380,3331,283,107,2561,1953,1948,1950,1946
41,Reflections of Priest Foyen,1400.0,1499.0,,https://clevelandart.org/art/2015.511,https://openaccess-cdn.clevelandart.org/2015.511/2015.511_web.jpg,Ikkyū Sōjun,,cleveland museum of art,1510,2563,1640,3485,3490,2631,2383,3357,2325,2753
42,Moonlit Landscape,1575.0,1599.0,,https://clevelandart.org/art/2015.482,https://openaccess-cdn.clevelandart.org/2015.482/2015.482_web.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
43,Calligraphy with Willow and Swallows,1400.0,1481.0,,https://clevelandart.org/art/2015.463,https://openaccess-cdn.clevelandart.org/2015.463/2015.463_web.jpg,Ikkyū Sōjun,,cleveland museum of art,2827,1856,1857,2863,2864,2865,2866,2867,2868,2869
44,"Mountain Market, Clear with Rising Mist",1500.0,1550.0,,https://clevelandart.org/art/2015.517,https://openaccess-cdn.clevelandart.org/2015.517/2015.517_web.jpg,,this painting depicts several vignettes of the scholar hermit’s various activities  in the the lower left corner  the scholar hermit is portrayed welcoming his guest in the courtyard  in the middle section on the lower bottom  the scholar and his guest are shown encountering another traveler on the bridge and exchanging their greetings  after crossing the bridge  the scholar visits a friend who lives in a compound of multiple buildings  the two friends decide to take a short walk  both appear in a terraced cliff  enjoying a mountain vista and the fragrance of an old pine tree carried by the gentle wind  the scholar continues his journey with his two servants  they are portrayed crossing a winding wooden bridge  right beyond the colossal rocky mountain  a panoramic view to a bustling market place unfolds  suggesting that it may be the place where the scholar hermit’s entourage would visit  perhaps the scholar need to buy items such as books  rolls of papers  and brushes  all essential to scholarly life  toward the upper left corner  another group of travelers is landing on the river bank that leads to the city gate  they may be headed to the multistoried buddhist stupa nestled on the top of the mountains ,cleveland museum of art,1997,2046,1586,3106,862,843,844,1871,2779,3480
45,Returning Home,1525.0,1575.0,,https://clevelandart.org/art/2015.513,https://openaccess-cdn.clevelandart.org/2015.513/2015.513_web.jpg,,,cleveland museum of art,2738,2622,2336,2313,1755,1076,1452,1996,922,1157
46,Maine Coast,1907.0,1907.0,,https://clevelandart.org/art/1922.1132,https://openaccess-cdn.clevelandart.org/1922.1132/1922.1132_web.jpg,Rockwell Kent,located off the coast of maine  monhegan island has long drawn artists attracted to its rugged headlands  brooding forests  and dramatic ocean vistas  unlike most colleagues who visited during summer  kent built a home and lived there year round  working as a well digger  lobsterman  and carpenter from 1906–8  this boldly rendered winter scene was painted from his studio window ,cleveland museum of art,2272,3491,867,2753,3483,3486,1688,1583,3092,764
47,Stag at Sharkey's,1909.0,1909.0,,https://clevelandart.org/art/1922.1133,https://openaccess-cdn.clevelandart.org/1922.1133/1922.1133_web.jpg,George Bellows,,cleveland museum of art,265,3309,47,226,2624,75,3322,417,1525,774
48,Antonia,1923.0,1923.0,,https://clevelandart.org/art/1924.1240,https://openaccess-cdn.clevelandart.org/1924.1240/1924.1240_web.jpg,Louise B. Maloney,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
49,"View of Schroon Mountain, Essex County, New York, After a Storm",1838.0,1838.0,,https://clevelandart.org/art/1917.1335,https://openaccess-cdn.clevelandart.org/1917.1335/1917.1335_web.jpg,Thomas Cole,,cleveland museum of art,1584,729,2545,3140,2726,1531,1989,1672,540,2034
50,St. Servan,1926.0,1926.0,,https://clevelandart.org/art/1926.1546,https://openaccess-cdn.clevelandart.org/1926.1546/1926.1546_web.jpg,Frank Wilcox,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
51,Still Life,1919.0,1929.0,,https://clevelandart.org/art/1926.1664,https://openaccess-cdn.clevelandart.org/1926.1664/1926.1664_web.jpg,Preston Dickinson,,cleveland museum of art,2096,3292,2262,2264,2404,2253,2263,1711,2285,2282
52,Landscape,1632.0,1717.0,,https://clevelandart.org/art/1915.105,https://openaccess-cdn.clevelandart.org/1915.105/1915.105_web.jpg,Wang Hui,,cleveland museum of art,1973,649,687,2512,2507,2021,1682,2807,2527,2528
53,Court Ladies in the Imperial Palace,1271.0,1368.0,,https://clevelandart.org/art/1915.106,https://openaccess-cdn.clevelandart.org/1915.106/1915.106_web.jpg,,,cleveland museum of art,3278,3279,3277,660,2565,3127,2258,3171,1917,3215
54,The Seven Worthies of the Bamboo Grove,1644.0,1911.0,,https://clevelandart.org/art/1915.107,https://openaccess-cdn.clevelandart.org/1915.107/1915.107_web.jpg,,,cleveland museum of art,2221,2220,2877,78,1982,2861,2310,2044,2045,2
55,Landscape with Figures,1644.0,1911.0,,https://clevelandart.org/art/1915.108,https://openaccess-cdn.clevelandart.org/1915.108/1915.108_web.jpg,,,cleveland museum of art,2380,3331,40,283,1945,1943,1948,1950,1951,2561
56,Children at Play,1508.0,1508.0,,https://clevelandart.org/art/1915.110,https://openaccess-cdn.clevelandart.org/1915.110/1915.110_web.jpg,Xia Kui,sixteen children engage in scholarly  religious  and military activities  representing the popular “one hundred boys” theme expressing the wish for abundant  successful male offspring  such paintings conveying auspicious wishes were often displayed during the new year festival season   br  br two older boys wear small crowns with red tassels  another child with a mask holds a brush in one hand  a rice measure in the other  he stands on a low table imitating kuixing  the god of examinations and servant to the god of literature ,cleveland museum of art,1836,3479,3296,2697,1606,2767,2470,3488,2680,783
57,Han Yige,1368.0,1644.0,,https://clevelandart.org/art/1915.111,https://openaccess-cdn.clevelandart.org/1915.111/1915.111_web.jpg,,,cleveland museum of art,1805,58,149,1674,3142,1701,37,3107,125,126
58,Madam Han Neefang,1368.0,1644.0,,https://clevelandart.org/art/1915.112,https://openaccess-cdn.clevelandart.org/1915.112/1915.112_web.jpg,,,cleveland museum of art,1805,57,1674,149,129,585,562,563,564,2760
59,Landscape,1644.0,1911.0,,https://clevelandart.org/art/1915.114,https://openaccess-cdn.clevelandart.org/1915.114/1915.114_web.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
60,Flowers and Rocks,1368.0,1644.0,,https://clevelandart.org/art/1915.116,https://openaccess-cdn.clevelandart.org/1915.116/1915.116_web.jpg,,,cleveland museum of art,2714,2717,1679,1680,1681,1652,1653,389,2340,1658
61,Ducks under Reeds,1400.0,1499.0,,https://clevelandart.org/art/1915.117,https://openaccess-cdn.clevelandart.org/1915.117/1915.117_web.jpg,,,cleveland museum of art,173,2413,2359,77,2707,269,2502,6,848,1940
62,Mandala,1700.0,1725.0,,https://clevelandart.org/art/1915.316,https://openaccess-cdn.clevelandart.org/1915.316/1915.316_web.jpg,,,cleveland museum of art,804,2683,198,39,2743,3040,2022,2023,2024,3474
63,Pietà,1575.0,1599.0,,https://clevelandart.org/art/1915.407,https://openaccess-cdn.clevelandart.org/1915.407/1915.407_web.jpg,,originating in germany in the 1300s  the intense moment of lamentation  often referred to as a pietà  has no origin in the bible  though it was more widespread in northern europe  the poignant scene of mary holding the body of her deceased son expanded into italy as well  in this painting  nicodemus supports christ s upper body  mary clasps her son s elbow as he lies across her lap  mary magdalene kneels at christ s feet  and john the apostle covers his face in grief behind her  the crown of thorns upon christ s head and the blood still visible from his wounds recall the events of the passion and highlight the sorrow of the virgin ,cleveland museum of art,3142,1514,0,3481,583,841,57,1805,130,2752
64,Catherine Greene,1769.0,1769.0,,https://clevelandart.org/art/1915.527,https://openaccess-cdn.clevelandart.org/1915.527/1915.527_web.jpg,John Singleton Copley,,cleveland museum of art,1990,648,157,2006,87,210,1662,2223,586,118
65,Nathaniel Hurd,1760.0,1770.0,,https://clevelandart.org/art/1915.534,https://openaccess-cdn.clevelandart.org/1915.534/1915.534_web.jpg,John Singleton Copley,,cleveland museum of art,1648,1877,2267,197,2238,3337,2751,118,67,586
66,Ramblers over a Winding Stream,1320.0,1330.0,,https://clevelandart.org/art/1915.536,https://openaccess-cdn.clevelandart.org/1915.536/1915.536_web.jpg,Luo Zhichuan,,cleveland museum of art,1645,2809,1689,2812,78,635,784,643,1984,2804
67,Martin Luther Hurlbut,1840.0,1840.0,,https://clevelandart.org/art/1915.600,https://openaccess-cdn.clevelandart.org/1915.600/1915.600_web.jpg,John Neagle,,cleveland museum of art,1619,586,118,197,2238,3337,65,1648,1877,2267
68,Self-Portrait,1852.0,1852.0,,https://clevelandart.org/art/1915.601,https://openaccess-cdn.clevelandart.org/1915.601/1915.601_web.jpg,George Peter Alexander Healy,,cleveland museum of art,441,493,748,391,208,610,2026,419,160,93
69,"Landscape, The Palace of the Clouds",1644.0,1911.0,,https://clevelandart.org/art/1915.616,https://openaccess-cdn.clevelandart.org/1915.616/1915.616_web.jpg,,,cleveland museum of art,843,844,1998,3328,2510,2055,2715,2359,416,2453
70,Insects and Flowers,1800.0,1915.0,,https://clevelandart.org/art/1915.617,https://openaccess-cdn.clevelandart.org/1915.617/1915.617_web.jpg,,,cleveland museum of art,389,2340,1679,1680,1681,2714,2717,1658,1654,2907
71,Monkey,1271.0,1368.0,,https://openaccess-cdn.clevelandart.org/1915.620/1915.620_web.jpg,https://openaccess-cdn.clevelandart.org/1915.620/1915.620_print.jpg,,,cleveland museum of art,2693,2657,2832,1985,1081,2834,2833,578,1079,1073
72,Landscape in the Style of Juran,1368.0,1644.0,,https://clevelandart.org/art/1915.621,https://openaccess-cdn.clevelandart.org/1915.621/1915.621_web.jpg,Liu Du,,cleveland museum of art,1703,2534,2530,665,699,689,688,1731,695,2506
73,Wild Geese and Reeds,1392.0,1910.0,,https://clevelandart.org/art/1915.631,https://openaccess-cdn.clevelandart.org/1915.631/1915.631_web.jpg,,,cleveland museum of art,2050,2782,6,2245,2579,2580,2581,3335,2413,2803
74,Hunting on Horses,1600.0,1900.0,,https://clevelandart.org/art/1915.680,https://openaccess-cdn.clevelandart.org/1915.680/1915.680_web.jpg,,,cleveland museum of art,735,387,2817,3453,3145,279,2695,3006,2988,1589
75,Capri Lace Maker,1884.0,1884.0,,https://clevelandart.org/art/1915.76,https://openaccess-cdn.clevelandart.org/1915.76/1915.76_web.jpg,George B. Butler,,cleveland museum of art,257,265,3309,47,226,2624,3322,417,1525,774
76,"Portrait of an ""Old Sea Captain""",1800.0,1899.0,,https://clevelandart.org/art/1915.87,https://openaccess-cdn.clevelandart.org/1915.87/1915.87_web.jpg,Samuel Isham,,cleveland museum of art,168,415,2691,2692,446,245,2090,541,420,2250
77,"The Umbrian Valley, Italy",1914.0,1914.0,,https://clevelandart.org/art/1915.88,https://openaccess-cdn.clevelandart.org/1915.88/1915.88_web.jpg,Frederick Gottwald,,cleveland museum of art,848,269,285,2243,2345,1886,3312,445,61,173
78,Bamboo in the Wind,1724.0,1724.0,,https://clevelandart.org/art/1915.96,https://openaccess-cdn.clevelandart.org/1915.96/1915.96_web.jpg,Ma Yu,,cleveland museum of art,643,1984,1982,1983,2044,1814,2877,666,18,1544
79,Landscapes,1892.0,1892.0,,https://clevelandart.org/art/1915.97,https://openaccess-cdn.clevelandart.org/1915.97/1915.97_web.jpg,Ren Yu,,cleveland museum of art,80,81,82,83,180,3106,4,1953,2506,2505
80,Landscape,1892.0,1892.0,,https://clevelandart.org/art/1915.97.1,https://openaccess-cdn.clevelandart.org/1915.97.1/1915.97.1_web.jpg,Ren Yu,,cleveland museum of art,80,81,82,83,180,3106,4,1953,2506,2505
81,Landscape,1892.0,1892.0,,https://clevelandart.org/art/1915.97.2,https://openaccess-cdn.clevelandart.org/1915.97.2/1915.97.2_web.jpg,Ren Yu,,cleveland museum of art,80,81,82,83,180,3106,4,1953,2506,2505
82,Landscape,1892.0,1892.0,,https://clevelandart.org/art/1915.97.3,https://openaccess-cdn.clevelandart.org/1915.97.3/1915.97.3_web.jpg,Ren Yu,,cleveland museum of art,80,81,82,83,180,3106,4,1953,2506,2505
83,Landscape,1892.0,1892.0,,https://clevelandart.org/art/1915.97.4,https://openaccess-cdn.clevelandart.org/1915.97.4/1915.97.4_web.jpg,Ren Yu,,cleveland museum of art,80,81,82,83,180,3106,4,1953,2506,2505
84,"Hare, Spoonbill, and Fish",1625.0,1675.0,,https://clevelandart.org/art/1916.1001,https://openaccess-cdn.clevelandart.org/1916.1001/1916.1001_web.jpg,,,cleveland museum of art,2386,2295,2049,2384,2385,644,1011,1913,3314,2928
85,Diana and Her Nymphs,1853.0,1853.0,,https://clevelandart.org/art/1916.1024,https://openaccess-cdn.clevelandart.org/1916.1024/1916.1024_web.jpg,Károly Markó,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
86,"Hampstead Heath, Looking Toward Harrow",1816.0,1826.0,,https://clevelandart.org/art/1916.1027,https://openaccess-cdn.clevelandart.org/1916.1027/1916.1027_web.jpg,John Constable,,cleveland museum of art,2760,3348,1608,118,1513,57,1805,255,586,577
87,Street Singer and Child,1761.0,1807.0,,https://clevelandart.org/art/1916.1030,https://openaccess-cdn.clevelandart.org/1916.1030/1916.1030_web.jpg,John Opie,,cleveland museum of art,262,118,135,159,2094,384,153,138,152,673
88,The Pancakes,1870.0,1880.0,,https://clevelandart.org/art/1916.1031,https://openaccess-cdn.clevelandart.org/1916.1031/1916.1031_web.jpg,Jozef Israëls,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
89,Greek Cavalry Men Resting in Forest,1858.0,1858.0,,https://clevelandart.org/art/1916.1032,https://openaccess-cdn.clevelandart.org/1916.1032/1916.1032_web.jpg,Eugène Delacroix,,cleveland museum of art,98,1561,3313,1922,478,2753,1692,1557,1931,2631
90,Greek Pirates Attacking a Turkish Vessel,1820.0,1850.0,,https://clevelandart.org/art/1916.1034,https://openaccess-cdn.clevelandart.org/1916.1034/1916.1034_web.jpg,,,cleveland museum of art,89,3444,3174,3463,3313,98,1561,3500,3466,529
91,The Mill,1873.0,1873.0,,https://clevelandart.org/art/1916.1035,https://openaccess-cdn.clevelandart.org/1916.1035/1916.1035_web.jpg,Émile van Marcke,,cleveland museum of art,2768,757,1649,869,2552,108,785,758,514,3323
92,Queen Mab's Cave,1846.0,1896.0,,https://clevelandart.org/art/1916.1036,https://openaccess-cdn.clevelandart.org/1916.1036/1916.1036_web.jpg,Joseph Mallord William Turner,,cleveland museum of art,587,824,738,367,2979,2770,2251,3226,245,311
93,The Triumph of the Church,1628.0,1638.0,,https://clevelandart.org/art/1916.1037,https://openaccess-cdn.clevelandart.org/1916.1037/1916.1037_web.jpg,Peter Paul Rubens,,cleveland museum of art,493,748,391,441,2026,610,1889,160,238,562
94,Tannhäuser,1886.0,1886.0,,https://clevelandart.org/art/1916.1038,https://openaccess-cdn.clevelandart.org/1916.1038/1916.1038_web.jpg,Henri Fantin-Latour,tannhäuser  the male figure seated on the left  does not seem fully engaged in this merry scene  among pale bodies and pastel hues  he alone is cast in shadow  the wagner opera that inspired the painting centers on a struggle between profane and sacred love  and the tension between them appears embodied in the brooding tannhäuser ,cleveland museum of art,3357,1510,783,3385,3031,3500,3488,2767,292,1691
95,Portrait of Charles I (1600-1649),1600.0,1699.0,,https://clevelandart.org/art/1916.1039,https://openaccess-cdn.clevelandart.org/1916.1039/1916.1039_web.jpg,Anthony van Dyck,,cleveland museum of art,495,482,115,512,2095,114,2289,484,487,1733
96,Carthage,1825.0,1835.0,,https://clevelandart.org/art/1916.1040,https://openaccess-cdn.clevelandart.org/1916.1040/1916.1040_web.jpg,William Linton,,cleveland museum of art,1971,824,2770,2251,738,3327,68,208,232,1598
97,Portrait of Jane Hoskyns,1778.0,1780.0,,https://clevelandart.org/art/1916.1041,https://openaccess-cdn.clevelandart.org/1916.1041/1916.1041_web.jpg,George Romney,,cleveland museum of art,97,2289,114,116,1607,1916,484,470,115,482
98,The Windmill,1855.0,1859.0,,https://clevelandart.org/art/1916.1042,https://openaccess-cdn.clevelandart.org/1916.1042/1916.1042_web.jpg,Jules Dupré,,cleveland museum of art,98,1561,478,2745,652,529,1931,443,770,1725
