Fall Term,Campus,Measure Values
2000,Santa Barbara,3.7340545115897923
2000,Santa Cruz,3.5919297992735215
2000,Universitywide,3.7317647153111784
2001,Berkeley,3.9146325239126925
2001,Davis,3.742857344725205
2001,Irvine,3.7191448818350255
2001,Los Angeles,3.87783109271487
2001,Riverside,3.517245672659561
2001,San Diego,3.861057262906844
2001,Santa Barbara,3.727514037922295
2001,Santa Cruz,3.5953221728574967
2001,Universitywide,3.700386007622429
2002,Berkeley,3.9225410721906115
2002,Davis,3.739345390845141
2002,Irvine,3.719329210218092
2002,Los Angeles,3.8686035525110816
2002,Riverside,3.533698692304428
2002,San Diego,3.8563843912389486
2002,Santa Barbara,3.7138433734088787
2002,Santa Cruz,3.5633165851155257
2002,Universitywide,3.7034509438068346
2003,Berkeley,3.921471402121463
2003,Davis,3.7365636267228552
2003,Irvine,3.7538315609683015
2003,Los Angeles,3.874479987835443
2003,Riverside,3.533401441084746
2003,San Diego,3.8661383422533966
2003,Santa Barbara,3.717223960742535
2003,Santa Cruz,3.5575766257097197
2003,Universitywide,3.697945269237592
2004,Berkeley,3.929047103161744
2004,Davis,3.772000487980606
2004,Irvine,3.782179592883693
2004,Los Angeles,3.8759032551174863
2004,Merced,3.463767137764818
2004,Riverside,3.5243059261392493
2004,San Diego,3.8797304033267266
2004,Santa Barbara,3.753691070008278
2004,Santa Cruz,3.6185311563303686
2004,Universitywide,3.735141950907512
2005,Berkeley,3.9416613427108107
2005,Davis,3.7684293736666667
2005,Irvine,3.7757492195342057
2005,Los Angeles,3.900337581703074
2005,Merced,3.5128667332573866
2005,Riverside,3.5311555516782027
2005,San Diego,3.8892120176724037
2005,Santa Barbara,3.7682513155913857
2005,Santa Cruz,3.606473536702951
2005,Universitywide,3.7200392170164234
2006,Berkeley,3.9329717119602052
2006,Davis,3.7473877376172275
2006,Irvine,3.775183464940707
2006,Los Angeles,3.898630183432209
2006,Merced,3.5069206745043133
2006,Riverside,3.5222683072430683
2006,San Diego,3.8751360536180988
2006,Santa Barbara,3.7589598207464268
2006,Santa Cruz,3.6033119050254543
2006,Universitywide,3.7097985568018332
2007,Berkeley,3.9339206215473355
2007,Davis,3.763760771132648
2007,Irvine,3.7759712935276246
2007,Los Angeles,3.8951481843599023
2007,Merced,3.502221269259662
2007,Riverside,3.507350251204805
2007,San Diego,3.8819671351889014
2007,Santa Barbara,3.7517462675664226
2007,Santa Cruz,3.586192961971742
2007,Universitywide,3.7016238176814533
2008,Berkeley,3.920157157060323
2008,Davis,3.7929650293377017
2008,Irvine,3.766762550745614
2008,Los Angeles,3.897132308165994
2008,Merced,3.4846037079316194
2008,Riverside,3.504974559931587
2008,San Diego,3.8742878910892173
2008,Santa Barbara,3.7668426730500983
2008,Santa Cruz,3.5980626975765166
2008,Universitywide,3.698664873479984
2009,Berkeley,3.935546949760765
2009,Davis,3.8343918527100884
2009,Irvine,3.81315486414992
2009,Los Angeles,3.920916747081218
2009,Merced,3.5152031655031513
2009,Riverside,3.581526813971414
2009,San Diego,3.898583175640487
2009,Santa Barbara,3.759997726237814
2009,Santa Cruz,3.63040429980857
2009,Universitywide,3.7166393549757526
2010,Berkeley,3.933984415695107
2010,Davis,3.845916350213346
2010,Irvine,3.8264143151718013
2010,Los Angeles,3.9247092609159093
2010,Merced,3.5239211445305916
2010,Riverside,3.5628823456249297
2010,San Diego,3.902062086320582
2010,Santa Barbara,3.8142075024298077
2010,Santa Cruz,3.643060670279199
2010,Universitywide,3.7361488026566656
2011,Berkeley,3.9326177818595953
2011,Davis,3.8657394071843902
2011,Irvine,3.813034842212151
2011,Los Angeles,3.9258703879717545
2011,Merced,3.470232392874469
2011,Riverside,3.5590620043627683
2011,San Diego,3.9058375208010205
2011,Santa Barbara,3.8153869184488745
2011,Santa Cruz,3.6349204959928203
2011,Universitywide,3.7570368452399556
2012,Berkeley,3.927477956186431
2012,Davis,3.8515744579628444
2012,Irvine,3.8217491544481246
2012,Los Angeles,3.9235343544150947
2012,Merced,3.4903386382175783
2012,Riverside,3.57900530997779
2012,San Diego,3.8999190512444555
2012,Santa Barbara,3.7939351265202608
2012,Santa Cruz,3.6527574133141485
2012,Universitywide,3.7513223850875623
2013,Berkeley,3.93269196505787
2013,Davis,3.8648334898563705
2013,Irvine,3.8360300259251514
2013,Los Angeles,3.927819210168459
2013,Merced,3.491167809150794
2013,Riverside,3.594522174832968
2013,San Diego,3.915512169055129
2013,Santa Barbara,3.8101645282535084
2013,Santa Cruz,3.687720912122353
2013,Universitywide,3.771918951114365
2014,Berkeley,3.947019902909505
2014,Davis,3.88919201431732
2014,Irvine,3.8509264693391225
2014,Los Angeles,3.9416043653378514
2014,Merced,3.530361531698646
2014,Riverside,3.6370179073617597
2014,San Diego,3.9373073548769884
2014,Santa Barbara,3.8364508514527964
2014,Santa Cruz,3.7028322343952644
2014,Universitywide,3.790183640346246
2015,Berkeley,3.964901174992457
2015,Davis,3.894749949301828
2015,Irvine,3.8673799507796383
2015,Los Angeles,3.937680423113273
2015,Merced,3.5508793449857223
2015,Riverside,3.6534274474194737
2015,San Diego,3.9361086739625994
2015,Santa Barbara,3.844253048270925
2015,Santa Cruz,3.732573594878565
2015,Universitywide,3.8050380326614865
2016,Berkeley,3.969250684460116
2016,Davis,3.90161005383132
2016,Irvine,3.8734955252170966
2016,Los Angeles,3.9535579167382173
2016,Merced,3.5478141629538236
2016,Riverside,3.648001454946995
2016,San Diego,3.9368405451560067
2016,Santa Barbara,3.858930484432734
2016,Santa Cruz,3.737713980341212
2016,Universitywide,3.7961755824257617
